id,text,class
ENGLISH_619,' KT PT INSR RSTN KNT ',INSURANCE
ENG_605,' T TNT PLN JRN ATFN ',INDIAN
ENG_369,' KRTT KRT INF TRNS 0 IRKT MBL SF ',INDIAN
ENG_66,' X PRSN WN BK WRLT SR PKR TRN ',SPORTS
ENG_125,' SSNS JRK PL KM IN ',SPORTS
ENG_173,' SKNT NKLR TL WT IRN ',GK
ENGLISH_689x,' X KNTR PRTK LRKS AMT TMNT RLT ',GK
ENGLISH_657x,' NM FST PM INT ',GK
ENG_221,' AKRK BTXL ',AGRICULTURE
ENG_63,' WS LRJT TN PRTK ',GK
ENGLISH_687,' OTFT NXNL INTL TL SRKL  ',SPORTS
ENG_141x,' MN UPLT ',TELECOMMUNICATION
ENG_153,' EKSP INT PS ',TOURISM
ENG_450,' TK APT KRR INTR TSTS KNSL SRFK ',CAREER
ENG_181,' N  KRNT SLMS  TM ',SPORTS
ENG_104x,' NT SPRT LN ISTN ',TELECOMMUNICATION
ENGLISH_622,' PLT AFTR OPTN NNMT STRM  ',CAREER
ENG_535,' INTS PP ',VISA
ENG_49,' HT SBRT KLM MRTK WS TFLT KLFS FR MTFK ',LOAN
ENG_465x,' TP PMNT M0S TLKM ',TELECOMMUNICATION
ENG_507,' RSML RSP PLSS ',RECIPES
ENG_523,' TM FS AP ',VISA
ENG_606,' AKTF IRKT MBL ',INDIAN
ENG_236,' T UNFR OFRN MSTR TKR AFTR BM ',CAREER
ENG_94,' WTS AR AMBL ',TOURISM
ENG_584,' RSM MSLS ',RECIPES
ENG_362,' LF INSR IMPR ',INSURANCE
ENG_292,' PRFT N FR KRR KNSL ',CAREER
ENG_69,' WTS RF SYN KLSP RSTS HK ',SPORTS
ENG_577,'  SMBR ',RECIPES
ENG_477,' WN FNT HTX TRF KMPN ',INTERNAL
ENG_471,' MN TSKN FSTF SPTS TR HK RNK ',SPORTS
ENGLISH_633,' TM LSST SKR OT ',SPORTS
ENG_164x,' X SKNL TKTN ENKT ',TELECOMMUNICATION
ENG_475,' PSBL  TFS TF KMPT PFR TFR STLT STR ETK ',INTERNAL
ENG_364,' WF KLTR LF TF ST KFR SNKL INSR ',INSURANCE
ENG_64x,' X KNTR KLT LNT RSNK SN ',GK
ENG_502,' WN HT MNK XTN TL  ',RECIPES
ENG_227,' TRMN TX MNS ',AGRICULTURE
ENG_182,' KSMT TRTM KFRT INSR ',INSURANCE
ENG_89x,' APL BSNL KN ',TELECOMMUNICATION
ENG_421,' NFL PLRS RK  WR KM  ST TM  ',SPORTS
ENG_486,' HPNS PX BTN ',INTERNAL
ENG_514,' PRPR HT LMN PKL ',RECIPES
ENG_401,' BKST TSRT RLT IS ',GK
ENG_37,'  TNLT IRKT MBL ',INDIAN
ENG_531,' R  APL  FS ',VISA
ENG_148,' HS UTPR FSTN ',TOURISM
ENG_161,' INTR PRS ',BANK
ENG_303,' 0R N BNFT TRNK ALXL ',HEALTH
ENG_67,' TMS NFL AFL JNT FLT  ',SPORTS
